날짜,시가,고가,저가,종가,거래량,등락률,EMA_short,EMA_long,MACD,MACD_Signal,RSI,RSI_Signal,SMA_5,SMA_20,SMA_60,SMA_120,SMA_240,EMA_5,EMA_20,EMA_60,EMA_120,EMA_240,SMA_5_minus_SMA_20,SMA_5_minus_SMA_60,SMA_5_minus_SMA_120,SMA_5_minus_SMA_240,SMA_20_minus_SMA_60,SMA_20_minus_SMA_120,SMA_20_minus_SMA_240,SMA_60_minus_SMA_120,SMA_60_minus_SMA_240,SMA_120_minus_SMA_240,EMA_5_minus_EMA_20,EMA_5_minus_EMA_60,EMA_5_minus_EMA_120,EMA_5_minus_EMA_240,EMA_20_minus_EMA_60,EMA_20_minus_EMA_120,EMA_20_minus_EMA_240,EMA_60_minus_EMA_120,EMA_60_minus_EMA_240,EMA_120_minus_EMA_240
2019-01-07,59000,59700,58400,58700,2273750,0.6861063464837049,60318.61305637963,62846.367251205374,-2527.754194825742,-2445.3616557833557,29.268292682926827,28.923692470972355,59160.0,61840.0,67200.0,73530.0,78190.0,59044.47299050804,61848.02054535852,66975.69715782192,71476.16021438476,73810.678130344,-2680.0,-8040.0,-14370.0,-19030.0,-5360.0,-11690.0,-16350.0,-6330.0,-10990.0,-4660.0,-2803.5475548504837,-7931.224167313885,-12431.687223876717,-14766.205139835954,-5127.676612463401,-9628.139669026234,-11962.65758498547,-4500.463056562832,-6834.980972522069,-2334.517915959237
2019-01-08,57900,60500,57600,59200,3062192,0.8517887563884157,60146.51874001353,62576.265973338304,-2429.7472333247715,-2442.238771291639,40.151515151515156,31.169257007080915,58900.0,61500.0,67036.66666666667,73300.0,78126.66666666667,59096.31532700536,61595.828112467236,66720.75626740154,71273.24847530402,73689.42768942828,-2600.0,-8136.6666666666715,-14400.0,-19226.66666666667,-5536.6666666666715,-11800.0,-16626.66666666667,-6263.3333333333285,-11090.0,-4826.6666666666715,-2499.512785461877,-7624.440940396176,-12176.93314829866,-14593.112362422922,-5124.9281549342995,-9677.420362836783,-12093.599576961045,-4552.492207902484,-6968.671422026746,-2416.179214124262
2019-01-09,59600,63800,59400,63600,4928656,7.4324324324324325,60677.82354924222,62652.098123461394,-1974.2745742191764,-2348.6459318771467,54.06976744186046,35.749359094036826,59500.0,61340.0,66890.0,73116.66666666667,78088.75,60597.54355133691,61786.70162556559,66618.43638978181,71146.41792199321,73605.69799905959,-1840.0,-7390.0,-13616.666666666672,-18588.75,-5550.0,-11776.666666666672,-16748.75,-6226.6666666666715,-11198.75,-4972.0833333333285,-1189.1580742286824,-6020.892838444903,-10548.874370656304,-13008.154447722678,-4831.73476421622,-9359.716296427621,-11818.996373493996,-4527.981532211401,-6987.261609277775,-2459.2800770663744
2019-01-10,64100,65600,64000,65300,6034432,2.6729559748427674,61388.92761858957,62848.239003204995,-1459.3113846154229,-2170.779022424802,61.79775280898876,40.95903783702722,61020.0,61330.0,66806.66666666667,72920.83333333333,78050.83333333333,62165.02903422461,62121.30147074982,66575.20896716602,71049.78291501812,73536.77104471055,-310.0,-5786.6666666666715,-11900.833333333328,-17030.83333333333,-5476.6666666666715,-11590.833333333328,-16720.83333333333,-6114.166666666657,-11244.166666666657,-5130.0,43.72756347478571,-4410.179932941413,-8884.753880793513,-11371.742010485941,-4453.907496416199,-8928.481444268298,-11415.469573960727,-4474.573947852099,-6961.562077544528,-2486.9881296924286
2019-01-11,65400,65900,64200,65100,2890639,-0.3062787136294028,61959.861831114256,63015.0361140787,-1055.1742829644427,-1947.65807453273,63.95348837209303,45.55792794404039,62380.0,61340.0,66730.0,72719.16666666667,78013.33333333333,63143.35268948308,62404.987044964124,66526.84146004582,70951.43939576163,73466.75634724408,1040.0,-4350.0,-10339.166666666672,-15633.333333333328,-5390.0,-11379.166666666672,-16673.33333333333,-5989.1666666666715,-11283.333333333328,-5294.166666666657,738.3656445189554,-3383.4887705627407,-7808.086706278547,-10323.403657761002,-4121.854415081696,-8546.452350797503,-11061.769302279958,-4424.597935715807,-6939.914887198262,-2515.316951482455
2019-01-14,64300,65100,62000,62100,3282892,-4.6082949308755765,61981.421549404375,62947.25566118398,-965.8341117796081,-1751.2932819821058,59.45945945945946,48.338234247124205,63060.0,61135.0,66591.66666666667,72498.33333333333,77958.75,62795.56845965539,62375.940659729444,66381.69911709349,70805.1346123606,73372.42641905119,1925.0,-3531.6666666666715,-9438.333333333328,-14898.75,-5456.6666666666715,-11363.333333333328,-16823.75,-5906.666666666657,-11367.083333333328,-5460.4166666666715,419.62779992594733,-3586.1306574381015,-8009.566152705214,-10576.857959395798,-4005.758457364049,-8429.193952631162,-10996.485759321746,-4423.435495267113,-6990.727301957697,-2567.291806690584
2019-01-15,62200,64000,62200,64000,2413868,3.059581320450886,62291.972080265245,63025.23672331851,-733.2646430532623,-1547.6875541963373,60.526315789473685,50.775850555594104,64020.0,61060.0,66513.33333333333,72287.5,77920.0,63197.045639770266,62530.61297785045,66303.61062145108,70692.65304851995,73294.64694669392,2960.0,-2493.3333333333285,-8267.5,-13900.0,-5453.3333333333285,-11227.5,-16860.0,-5774.1666666666715,-11406.666666666672,-5632.5,666.4326619198182,-3106.5649816808145,-7495.607408749682,-10097.60130692365,-3772.9976436006327,-8162.0400706695,-10764.033968843469,-4389.042427068867,-6991.036325242836,-2601.993898173969
2019-01-16,63800,64900,62700,64800,2478497,1.25,62677.82252945521,63156.70066973936,-478.8781402841487,-1333.9256714138996,61.34020618556701,52.888721681588684,64260.0,61210.0,66413.33333333333,72075.0,77893.75,63731.36375984685,62746.74507519803,66254.31191255104,70595.25382457746,73224.15195128566,3050.0,-2153.3333333333285,-7815.0,-13633.75,-5203.3333333333285,-10865.0,-16683.75,-5661.6666666666715,-11480.416666666672,-5818.75,984.6186846488199,-2522.9481527041935,-6863.8900647306145,-9492.788191438813,-3507.5668373530134,-7848.508749379434,-10477.406876087633,-4340.941912026421,-6969.840038734619,-2628.898126708198
2019-01-17,65500,66200,64600,64900,2830122,0.15432098765432098,63019.6959864621,63285.833953462374,-266.1379670002716,-1120.368130531174,62.5,54.81097734527095,64180.0,61345.0,66328.33333333333,71883.33333333333,77867.08333333333,64120.90917323124,62951.81697279822,66209.90824328706,70501.11739772496,73155.07185210487,2835.0,-2148.3333333333285,-7703.3333333333285,-13687.083333333328,-4983.3333333333285,-10538.333333333328,-16522.08333333333,-5555.0,-11538.75,-5983.75,1169.0922004330205,-2088.9990700558265,-6380.208224493719,-9034.162678873632,-3258.091270488847,-7549.30042492674,-10203.254879306653,-4291.209154437893,-6945.163608817806,-2653.954454379913
2019-01-18,65000,65700,63900,64600,2263599,-0.46224961479198773,63262.819680852546,63383.179586539234,-120.35990568668785,-920.3664855622769,58.33333333333334,55.51544854288343,64080.0,61520.0,66253.33333333333,71740.83333333333,77834.58333333333,64280.60611548749,63108.78678491268,66157.12436645798,70403.57826718406,73084.07540519944,2560.0,-2173.3333333333285,-7660.8333333333285,-13754.583333333328,-4733.3333333333285,-10220.833333333328,-16314.583333333328,-5487.5,-11581.25,-6093.75,1171.8193305748136,-1876.51825097049,-6122.972151696566,-8803.469289711953,-3048.3375815453037,-7294.791482271379,-9975.288620286767,-4246.4539007260755,-6926.951038741463,-2680.4971380153875
